Author,Book,Year,Title,Theme,Poem,Meter
Alphonse de Lamartine,Recueillements poétiques,1839,Amitié de femme,Femmes,"À Madame L. sur son album.

Amitié, doux repos de l'âme, 
Crépuscule charmant des cœurs, 
Pourquoi dans les yeux d'une femme 
As-tu de plus tendres langueurs ?

Ta nature est pourtant la même ! 
Dans le cœur dont elle a fait don 
Ce n'est plus la femme qu'on aime, 
Et l'amour a perdu son nom.

Mais comme en une pure glace 
Le crayon se colore mieux, 
Le sentiment qui le remplace 
Est plus visible en deux beaux yeux.

Dans un timbre argentin de femme 
Il a de plus tendres accents : 
La chaste volupté de l'âme 
Devient presque un plaisir des sens.

De l'homme la mâle tendresse 
Est le soutien d'un bras nerveux, 
Mais la vôtre est une caresse 
Qui frissonne dans les cheveux.

Oh ! laissez-moi, vous que j'adore 
Des noms les plus doux tour à tour, 
O femmes, me tromper encore 
Aux ressemblances de l'amour !

Douce ou grave, tendre ou sévère, 
L'amitié fut mon premier bien : 
Quelque soit la main qui me serre, 
C'est un cœur qui répond au mien.

Non, jamais ma main ne repousse 
Ce symbole d'un sentiment ; 
Mais lorsque la main est plus douce, 
Je la serre plus tendrement.",vers libre
Alfred de Musset,Poésies nouvelles,1850,Conseils à une parisienne,Femmes,"Oui, si j'étais femme, aimable et jolie, 
Je voudrais, Julie, 
Faire comme vous ; 
Sans peur ni pitié, sans choix ni mystère, 
A toute la terre 
Faire les yeux doux.

Je voudrais n'avoir de soucis au monde 
Que ma taille ronde, 
Mes chiffons chéris, 
Et de pied en cap être la poupée 
La mieux équipée 
De Rome à Paris.

Je voudrais garder pour toute science 
Cette insouciance 
Qui vous va si bien ; 
Joindre, comme vous, à l'étourderie 
Cette rêverie 
Qui ne pense à rien.

Je voudrais pour moi qu'il fût toujours fête, 
Et tourner la tête, 
Aux plus orgueilleux ; 
Être en même temps de glace et de flamme, 
La haine dans l'âme, 
L'amour dans les yeux.

Je détesterais, avant toute chose, 
Ces vieux teints de rose 
Qui font peur à voir. 
Je rayonnerais, sous ma tresse brune, 
Comme un clair de lune 
En capuchon noir.

Car c'est si charmant et c'est si commode, 
Ce masque à la mode, 
Cet air de langueur ! 
Ah ! que la pâleur est d'un bel usage ! 
Jamais le visage 
N'est trop loin du coeur.

Je voudrais encore avoir vos caprices, 
Vos soupirs novices, 
Vos regards savants. 
Je voudrais enfin, tant mon coeur vous aime, 
Être en tout vous-même... 
Pour deux ou trois ans. 

Il est un seul point, je vous le confesse, 
Où votre sagesse 
Me semble en défaut. 
Vous n'osez pas être assez inhumaine. 
Votre orgueil vous gêne ; 
Pourtant il en faut.

Je ne voudrais pas, à la contredanse, 
Sans quelque prudence 
Livrer mon bras nu ; 
Puis, au cotillon, laisser ma main blanche 
Traîner sur la manche 
Du premier venu.

Si mon fin corset, si souple et si juste, 
D'un bras trop robuste 
Se sentait serré, 
J'aurais, je l'avoue, une peur mortelle 
Qu'un bout de dentelle 
N'en fût déchiré. 

Chacun, en valsant, vient sur votre épaule 
Réciter son rôle 
D'amoureux transi ; 
Ma beauté, du moins, sinon ma pensée, 
Serait offensée 
D'être aimée ainsi.

Je ne voudrais pas, si j'étais Julie, 
N'être que jolie 
Avec ma beauté. 
Jusqu'au bout des doigts je serais duchesse. 
Comme ma richesse, 
J'aurais ma fierté.

Voyez-vous, ma chère, au siècle où nous sommes, 
La plupart des hommes 
Sont très inconstants. 
Sur deux amoureux pleins d'un zèle extrême, 
La moitié vous aime 
Pour passer le temps.

Quand on est coquette, il faut être sage. 
L'oiseau de passage 
Qui vole à plein coeur 
Ne dort pas en l'air comme une hirondelle, 
Et peut, d'un coup d'aile, 
Briser une fleur.",vers libre
Henri-Frédéric Amiel,Grains de mil,1854,La belle fille,Fille,"Ô belle sérieuse, 
Dans l'œil ou dans le front, 
Ni la brune oublieuse, 
Ni la blonde rieuse 
N'ont ton charme profond.

Comme la brune folle, 
Tu souris au plaisir ; 
Mais, moins qu'elle frivole, 
Plus haut, plus loin, s'envole 
Ton immense désir.

Comme la vierge blonde, 
Tu demandes l'amour ; 
Mais ton regard le sonde, 
Il abandonne au monde 
Les idoles d'un jour.

Ici, de toute joie 
On n'a que la moitié ; 
Le cœur léger s'y noie ; 
Cette chétive proie, 
Tu la prends en pitié.

Tu sens que la lumière 
Est plus que les couleurs ; 
Qu'elles sont sa poussière, 
De toi vivant, ô mère, 
Et mourant, si tu meurs ;

Que du lion la pose 
Dit tout, tandis qu'un bond 
N'exprime qu'une chose ; 
Tu sens que, s'il repose, 
Le sublime est sans fond.

Et tu restes sereine ; 
C'est pourquoi tu me plais ; 
Et ton beau front de reine 
Se couronne, ô sirène, 
D'une aurore de paix.

J'aime ta beauté grave ; 
Magique est le couchant, 
D'or, de pourpre ou de lave ; 
Mais pur, simple et suave, 
N'est-il pas plus touchant ?

Océan, quand tu grondes, 
Je t'admire, Océan, 
Mais, tranquilles, tes ondes 
Ont, deux fois plus profondes, 
Plus de grandeur, géant !

Ni la brune oublieuse, 
Dans l'œil ou dans le front, 
Ni la blonde rieuse, 
Ô belle sérieuse, 
N'ont ton charme profond.

En toute créature 
Dans l'art, temple de feu, 
Dans l'homme et la nature, 
Ton œil, ô vierge pure, 
Cherche le doigt de Dieu.

Tu sais vivre en toi-même, 
Et, quand meurent tous bruits, 
Ton âme, instant suprême, 
Entend la voix qu'elle aime 
Dans le calme des nuits.

Le jour est pour la vie ; 
Tu sais vivre en aimant ; 
Ton âme est poursuivie 
De l'immortelle envie 
Du complet dévouement.

Bien souvent ton cœur saigne, 
Non que Dieu l'ait puni, 
Non que, timide, il craigne, 
Ou que, lâche, il se plaigne, 
Mais il veut l'infini.

Sainte, aimante, héroïque, 
L'œil limpide et loyal, 
Ton profil est antique, 
Ta voix une musique, 
Ton rêve, l'idéal.

Je trouve Hébé jolie 
Et charmante Cérès ; 
Mais une autre harmonie, 
Ô Vénus-Uranie, 
Resplendit sur tes traits.

Laure est belle, ô Pétrarque, 
L'œil enchanté, je suis 
Angélique en sa barque ; 
Mais la divine marque 
Est sur toi, Béatrix !

Ô belle sérieuse, 
Dans tout ce qu'elles font, 
Ni la brune oublieuse, 
Ni la blonde rieuse, 
N'ont ton charme profond.

L'une éveille ma lyre, 
L'autre sait me charmer ; 
Mais pour toi je respire, 
Fille au divin sourire, 
Et toi, je veux t'aimer.",vers libre
Henri-Frédéric Amiel,Grains de mil,1854,La fille blonde,Fille,"Au temps des senteurs 
Et de l'alouette, 
Fille joliette, 
Aux vives couleurs, 
En fraîche toilette, 
Qui t'en vas seulette, 
Narguant les railleurs, 
Un matin de fête, 
A travers l'herbette, 
Faire ta cueillette 
D'amour et de fleurs ; — 
Blonde bachelette 
Aux traits séducteurs, 
Aux regards quêteurs, 
Et pourtant discrète, — 
Jeune oiseau rieur, 
Hardi par candeur, 
Qui cache sa peur 
Sous un front moqueur, 
Naïve coquette, 
Avec l'air vainqueur, 
Pauvre enfant simplette, 
Veille sur ton cœur. 
Gare à la défaite ! 
Gare à la conquête ! 
Loin est le bonheur, 
Ô ma pâquerette, 
Près est le malheur. 
— En ta maisonnette 
Reviens vers tes sœurs, 
Reviens-y seulette, 
Et crois-nous, fillette, 
Gaîté d'amourette 
Finit par des pleurs. 
Crainte des douleurs, 
Jeune bergerette, 
Au temps des senteurs 
Et de l'alouette, 
Ris de la fleurette, 
Ne souris qu'aux fleurs.",vers libre
Henri-Frédéric Amiel,Grains de mil,1854,La fille brune,Fille,"I

Vierge au pied leste, 
Au chant mutin, 
A la main preste, 
A l'œil lutin, 
Au front hautain, 
Au royal geste, 
Sois plus modeste, 
Songe au destin, 
Vierge si preste, 
Songe à demain !

II

La feuille tombe, 
Ô ma colombe, 
Du rameau vert ; 
Le printemps chante, 
Ô ma charmante... 
Puis vient l'hiver.

Des feux d'Aurore 
Le ciel se dore... 
Puis vient la nuit ; 
Un éclair brille, 
Ô ma gentille, 
Brille... et s'enfuit.

Fille superbe, 
La fleur de l'herbe, 
Ton doux larcin, 
Bientôt se fane, 
Ô ma sultane... 
Même à ton sein.

La pleine lune 
Bientôt, ma brune, 
Perd son éclat ; 
La fraîche brise, 
Quoique insoumise, 
Bientôt s'abat.

L'horloge sonne, 
Sonne, ô mignonne... 
Et puis se tait ; 
Tout passe vite, 
Vite, ô petite... 
Et disparaît.

III

Vierge au pied leste, 
Au chant mutin, 
Au royal geste, 
Au ton hautain, 
Bien ne demeure, 
Bien ici-bas ; 
L'heure après l'heure 
Presse le pas ; 
Et tel qu'un rêve 
S'envole au jour, 
Ainsi, sans trêve 
Et sans amour, 
Qu'on le regrette, 
Enfant, ou pas, 
Tout, ma pauvrette, 
Nous quitte, hélas !

IV

Ton œil, bel ange, 
Va se ternir ; 
Dans l'avenir 
Tout doit finir : 
Aussi tout change.

Agneaux et loups, 
Sages et fous 
Plaisir et joie, 
Tout est la proie 
Du temps jaloux.

Partout il pille : 
Autour de nous, 
A tes genoux ; 
Sens-tu ses coups, 
Ô jeune fille ?

Puis, sans espoir, 
Fruit, rose ou feuille 
Le Trépas noir 
Prend, fauche ou cueille 
Tout, un beau soir.

V

Sans perdre haleine 
Jusqu'au matin, 
D'un pied badin 
Chassant la peine, 
Danse, ô ma reine, 
Aux cils d'ébène, 
Mais dans l'arène, 
Enfant hautain, 
Pense à la fin, 
Pense au destin : 
Vieille on se traîne ; 
Songe au chemin 
Vierge trop vaine, 
Songe à demain !",vers libre
Charles Dovalle,Poésies de feu,1830,Jeune fille,Fille,"La jeune fille est blanche et rose, 
Son beau sein jamais ne repose ; 
Elle a sur son cou des cheveux 
Blonds et soyeux ; 
Des yeux bleus où l'amour pétille, 
Et de longs regards enflammés, 
Pour dire : « Aimez 
La jeune fille ! »

Pendant les heures du sommeil 
La jeune fille fait des songes 
Tout pleins de séduisants mensonges ; 
Puis, au réveil, 
Elle sourit, comme pour dire 
Au doux soleil un doux bonjour, 
Et ce sourire, 
C'est de l'amour.

L'amour sur sa bouche vermeille 
Parfois se berce ; mais tremblant, 
Et timide encore, il sommeille, 
Ou fait semblant ; 
Et souvent l'haleine enfantine 
De la jeune fille aux yeux bleus 
Souffle et badine 
Dans ses cheveux.

La jeune fille, vive et folle, 
Oublieuse du temps qui fuit, 
Se désespère et se console 
En une nuit. 
On voit tour à tour sur sa joue 
La pâleur et le vermillon. 
— Tel vole et joue 
Un papillon.

Elle donnerait ses parures, 
Ses tissus brodés, ses rubans, 
Ses colliers d'or et ses ceintures 
De diamants, 
Pour une robe de bergère, 
Pour voltiger en liberté, 
Blanche et légère, 
Un soir d'été.

La jeune fille se couronne 
De fleurs qui vivent un matin ; 
La jeune fille s'abandonne 
A son destin : 
Un souvenir, une espérance, 
Des jeux passés, des jeux présents, 
L'insouciance, 
Et puis quinze ans !",octosyllabe
Victoire Babois,Élégies et poésies diverses,1828,A ma fille,Fille,"Ô toi dont la pénible enfance
S'écoule au milieu des douleurs,
Toi, dont la fragile existence
M'a déjà coûté tant de pleurs ;
Ô ! De ta mère,
Fille trop chère,
Le ciel enfin comble les vœux,
Et de ta vie,
Las ! Tant chérie,
Il daigne resserrer les nœuds.

Déjà de ta bouche enfantine
S'échappent mille traits charmants,
Que mon cœur saisit et devine
Dans les plus doux ravissements ;
Mais sans culture,
De la nature
Tu perdrais les dons généreux,
Si ma tendresse,
Veillant sans cesse,
N'en cultivait le germe heureux.

Je verrai sans inquiétude
Venir la saison des erreurs.
Ma constante sollicitude
Saura se cacher sous les fleurs.
Avec adresse
Douce sagesse
Te conduira vers le bonheur,
Et ma tendresse,
Veillant sans cesse,
Servira d'égide à ton cœur.",octosyllabe
Maurice Rollinat,Paysages et paysans,1899,La fille amoureuse,Fille,"La belle fille blanche et rousse, 
De la sorte, au long du buisson, 
Entretient la mère Lison 
À voix mélancolique et douce :

« Moi cont' laquell' sont à médire 
Les fill' encor ben plus q' les gars, 
J' tiens à vous esposer mon cas, 
Et c'est sans hont' que j' vas vous l' dire,

Pac' que vous avez l'humeur ronde, 
Et, q' rapportant sans v'nin ni fiel 
Tout' les affair' au naturel, 
Vous les jugez au r'bours du monde.

Tout' petit', j'étais amoureuse, 
J'étais déjà foll' d'embrasser... 
Et, mes seize ans v'naient d' commencer, 
Que j' m'ai senti d'êtr' langoureuse,

Autant q' l'âm' j'avais l' corps en peine : 
Cachant mes larm' à ceux d' chez nous, 
Aux champs assise, ou sur mes g'noux, 
Des fois, j' pleurais comme un' fontaine.

Les airs de vielle et d' cornemuse 
M'étaient d' la musique à chagrin, 
Et d' mener un' vache au taurin 
Ça m' rendait songeuse et confuse.

J'avais d' la r'ligion, ma mèr' Lise, 
Eh ben ! mon cœur qui s'ennuyait 
Jamais alors n' fut plus inquiet 
Qu'ent' les cierg' et l'encens d' l'église.

Ça m' tentait dans mes veill', mes sommes, 
Et quoi q' c'était ? J'en savais rien. 
J' m'en sauvais comm' d'un mauvais chien 
Quand j'trouvais en c'h'min quèq' jeune homme,

En mêm' temps, m' venaient des tendresses 
Oui m' mouillaient tout' l'âme comm' de l'eau, 
Tell' que trembl' les feuill' du bouleau 
J' frémissais sous des vents d' caresses.

Un jour, au bout d'un grand pacage, 
J' gardais mon troupeau dans des creux, 
En des endroits trist' et peureux, 
À la lisièr' d'un bois bocage ;

Or, c'était ça par un temps drôle, 
Si mort q'yavait pas d' papillons, 
Passa l' long d' moi, tout à g'nillons, 
Un grand gars, l' bissac sur l'épaule.

Sûr ! il était pas d' not' vallée, 
Dans l' pays j' l'avais jamais vu. 
Pourtant, dès que j' le vis, ça fut 
Comm' si j'étais ensorcelée !

Tout' moi, mes quat' membr', lèvr', poitrine, 
J' devins folle ! et j' trahis alors 
C' désir trouble et caché d' mon corps 
Dont l' rong'ment m' rendait si chagrine.

J' laissai là mes moutons, mes chèvres, 
Et j' suivis c't'homme en le r'poussant, 
Livrée à lui par tout mon sang, 
Qui m' brûlait comme un' mauvais' fièvre.

Et, lorsque j' m'en r'vins au soir pâle, 
D' mon tourment j' savais la raison, 
Et q' fallait pour ma guérison 
Fair' la f'melle et pratiquer l' mâle.

D'puis c' moment-là, je r'semble un' louve 
Qui dans l' nombr' des loups f'rait son choix ; 
Sans plus d' genr' que la bêt' des bois, 
Quand ça m' prend, faut q' mes flancs s'émouvent !

Ivre, à tout' ces bouch' d'aventure 
J' bois des baisers chauds comm' du vin ; 
Ma peau s' régal', mon ventre a faim 
De c' tressail'ment q'est sa pâture.

Avec l'homm' j'ai pas d' coquett'rie, 
Et quand il m'a prise et qu'on s' tient, 
Je m' sers de lui comm' d'un moyen, 
Je n' pens' qu'à moi dans ma furie.

Ceux q'enjôl' les volag', les niaises, 
Qui s' prenn' à l'Amour sans l'aimer, 
Ont ben essayé de m' charmer : 
Ils perd' leur temps lorsque j' m'apaise.

Ça fait q' jamais je n' m'abandonne 
Pour l'intérêt ou l'amitié, 
Ni par orgueil ni par pitié. 
C'est pour me calmer que j' me donne !

M' marier ? Non ! j'enrag'rais ma vie ! 
Tromper mon mari ? l'épuiser ? 
Ou que j' me priv' pour pas l'user ? 
Faut d' l'amour neuf à mon envie !

L' feu d' la passion q' mon corps endure 
Met autant mon âme en langueur, 
Et c' qui fait les frissons d' mon cœur, 
C'est ceux qui m' pass' dans la nature 

Avec le sentiment qui m' glace 
Mon désir n'a pas d'unisson, 
Et j' peux pas connaît' un garçon 
Sans y d'mander qu'on s'entrelace.

Tous me jett' la pierre et m' réprouvent, 
Dis' que j' fais des commerc' maudits, 
Pourtant, je m' crois dans l' Paradis 
Quand l' plaisir me cherche et qui m' trouve !

J' suis franch' de chair comm' de pensée, 
J' livr' ma conscience avec mon corps, 
V'là pourquoi j' n'ai jamais d' remords 
Après q' ma folie est passée.

Eh ben ! Vous qu'êt' bonn', sans traîtrise, 
Mer' Lison ? Vous qu'êt' sans défaut, 
Dit' ? à vot' idée ? es'qu'i' faut 
Que j' me r'pente et que j' me méprise ? »

La vieille, ainsi, dans la droiture 
De son sens expérimenté, 
D'après la loi d'éternité, 
La juge au nom de la Nature :

« Je n' vois pas q' ton cas m'embarrasse, 
Ma fille ! T'as l' corps obéissant 
Au conseil libertin d' ton sang 
Qu'est une héritation d' ta race.

C'est pas l' vice, ni la fantaisie 
Qui t' pouss' à l'homm'... c'est ton destin ! 
J' blâm' pas ta paillardis' d'instinct 
Pac' qu'elle est sans hypocrisie.

Ceux qui t'appell' traînée infâme 
En vérité n'ont pas raison : 
L' sort a mis, comm' dans les saisons, 
Du chaud ou du froid dans les femmes.

Tout' ceux bell' moral' qu'on leur flanque 
Ell' les écout' sous condition : 
Cell' qui n' cour' pas, c'est l'occasion 
Ou la forc' du sang qui leur manque.

Et d'ailleurs, conclut la commère : 
Qu'èq' bon jour, t'auras des champis, 
Si t'en fais pas, ça s'ra tant pis : 
Tu chang'rais d'amour, étant mère ! »",vers libre
François Coppée,Poèmes divers,1869,À une tulipe,Fleurs (Les),"Ô rare fleur, ô fleur de luxe et de décor, 
Sur ta tige toujours dressée et triomphante, 
Le Velasquez eût mis à la main d'une infante 
Ton calice lamé d'argent, de pourpre et d'or.

Mais, détestant l'amour que ta splendeur enfante, 
Maîtresse esclave, ainsi que la veuve d'Hector, 
Sous la loupe d'un vieux, inutile trésor, 
Tu t'alanguis dans une atmosphère étouffante.

Tu penses à tes sœurs des grands parcs, et tu peux 
Regretter le gazon des boulingrins pompeux, 
La fraîcheur du jet d'eau, l'ombrage du platane ;

Car tu n'as pour amant qu'un bourgeois de Harlem, 
Et dans la serre chaude, ainsi qu'en un harem, 
S'exhalent sans parfum tes ennuis de sultane.",metre libre
Henri-Frédéric Amiel,Grains de mil,1854,La violette,Fleurs (Les),"Douce violette, 
Vierge humble et discrète, 
Fille de nos bois, 
Dis-moi dans quels songes 
Ainsi tu te plonges 
Sans joie et sans voix ?

— Sans voix, non sans joie, 
Car Dieu m'en envoie : 
J'écoute un oiseau ; 
Son chant me fait fête, 
Et moi, fleur muette, 
Je me dis : c'est beau !",vers libre
Louise Colet,Fleurs du midi,1836,Les fleurs que j'aime,Fleurs (Les),"Fleurs arrosées 
Par les rosées 
Du mois de mai, 
Que je vous aime ! 
Vous que parsème 
L'air embaumé !

Par vos guirlandes, 
Les champs, les landes 
Sont diaprés : 
La marguerite 
Modeste habite 
Au bord des prés.

Le bluet jette 
Sa frêle aigrette 
Dans la moisson ; 
Et sur les roches 
Pendent les cloches 
Du liseron.

Le chèvrefeuille 
Mêle sa feuille 
Au blanc jasmin, 
Et l'églantine 
Plie et s'incline 
Sur le chemin.

Coupe d'opale, 
Sur l'eau s'étale 
Le nénufar ; 
La nonpareille 
Offre à l'abeille 
Son doux nectar.

Sur la verveine 
Le noir phalène 
Vient reposer ; 
La sensitive 
Se meurt, craintive, 
Sous un baiser.

De la pervenche 
La fleur se penche 
Sur le cyprès ; 
L'onde qui glisse 
Voit le narcisse 
Fleurir tout près.

Fleurs virginales, 
A vos rivales, 
Roses et lis, 
Je vous préfère, 
Quand je vais faire 
Dans les taillis 
Une couronne 
Dont j'environne 
Mes blonds cheveux, 
Ou que je donne 
A la Madone 
Avec mes vœux.",vers libre
Antoine de Latour,Loin du foyer,1835,Une fleur,Fleurs (Les),"Hier, lorsqu'au matin sonnait la dixième heure, 
J'allais, et je ne sais comment il arriva 
Que je me retrouvai devant votre demeure, 
Je ne sais où j'allais, mais je me trouvai là.

Et de tristes pensers dans mon sein murmurèrent, 
Tristesses que le cœur exhale en les chantant, 
Et ces pensers vers vous doucement s'élevèrent, 
Comme un parfum des bois qui s'épure en montant.

Et j'avais une fleur, messagère odorante 
Des premières senteurs du printemps revenu, 
La porte était ouverte, et d'une main tremblante 
J'y jetai cette fleur, et m'enfuis tout ému.

Va ! ton destin est beau, pauvre fleur printanière, 
Car peut-être sur toi son regard tombera ; 
Tes feuilles vont mourir éparses sur la terre, 
Mais peut-être, en passant, son pied te foulera.",metre libre
Antoine de Latour,Loin du foyer,1835,La fleur des poètes,Fleurs (Les),"Chacun, comme un trésor, garde au fond de son ame 
Le parfum préféré de quelque chère fleur, 
Et dans tous nos pensers, sur le plus sombre drame 
Ce souvenir lointain épanche sa fraîcheur.

Au lilas, confident de sa longue douleur, 
Valmore de son chant suspend l'aile de flamme, 
Et sur la véronique, image de son cœur, 
Tastu laisse tomber le soupir de la femme.

Le chaste amant d'Elvire au pied de l'amandier 
S'arrête pour cueillir une branche, et Nodier 
D'une grâce rêveuse a doué l'anémone ;

Ah ! si parmi ces fleurs tu t'élevais un jour,
Blanc jasmin qui jadis, par un beau soir d'au tomne, 
Reçus les larmes d'or de mon premier amour !",décasyllabe
René-François Sully Prudhomme,Les solitudes,1869,La bouture,Fleurs (Les),"Au temps où les plaines sont vertes, 
Où le ciel dore les chemins, 
Où la grâce des fleurs ouvertes 
Tente les lèvres et les mains,

Au mois de mai, sur sa fenêtre, 
Un jeune homme avait un rosier ; 
Il y laissait les roses naître 
Sans les voir ni s'en soucier ;

Et les femmes qui d'aventure 
Passaient près du bel arbrisseau, 
En se jouant, pour leur ceinture 
Pillaient les fleurs du jouvenceau.

Sous leurs doigts, d'un précoce automne 
Mourait l'arbuste dévasté ; 
Il perdit toute sa couronne, 
Et la fenêtre sa gaîté ;

Si bien qu'un jour, de porte en porte, 
Le jeune homme frappa, criant : 
« Qu'une de vous me la rapporte, 
La fleur qu'elle a prise en riant ! »

Mais les portes demeuraient closes. 
Une à la fin pourtant s'ouvrit : 
« Ah ! Viens, dit en montrant des roses 
Une vierge qui lui sourit ;

Je n'ai rien pris pour ma parure ; 
Mais sauvant le dernier rameau, 
Vois ! J'en ai fait cette bouture, 
Pour te le rendre un jour plus beau. »",vers libre
André Lemoyne,Chansons des nids et des berceaux,1896,Fleur solitaire,Fleurs (Les),"À Madame de Bertha.


Par un soir ténébreux de l'arrière-saison. 
Dans un coup de rafale une graine emportée, 
Tombant contre les murs d'une haute prison, 
Entre de vieux pavés mal joints s'est arrêtée.

Dans ce lit de hasard elle dort tout l'hiver, 
Sous des blocs de granit froidement inhumée ; 
Mais quand au tiède avril le ciel bleu s'est ouvert, 
Elle tressaille et germe où le vent l'a semée.

Alors, comme sortant d'un funèbre sommeil, 
Elle émerge à grand'peine et s'exhausse de terre, 
Et d'un suprême effort aspirant au soleil 
Elle frémit d'espoir, la pauvre solitaire.

Puis, grâce à de longs jets flexibles et rampants, 
S'attachant par saut brusque ou par lente caresse, 
Comme la vigne vierge et les rosiers grimpants, 
Elle escalade enfin la haute forteresse.

Quand elle arrive au bout de son rude chemin, 
Montant jusqu'au rebord d'une étroite fenêtre, 
Elle étale sa fleur près d'un visage humain 
Qu'elle a vu triste et pâle à la grille apparaître.

À plein cœur exhalant son parfum printanier, 
La fleur s'épanouit... et meurt dans la soirée ; 
Mais elle s'est ouverte aux yeux du prisonnier, 
Qui seul a pu la voir, qui seul l'a respirée.",vers libre
Charles Cros,Le collier de griffes,1908,Rêve,Fleurs (Les),"Oh ! la fleur de lys ! 
La noble fleur blanche, 
La fleur qui se penche 
Sur nos fronts pâlis !

Son parfum suave 
Plus doux que le miel 
Raconte le ciel, 
Console l'esclave.

Son luxe éclatant 
Dans la saison douce 
Pousse, pousse, pousse. 
Qui nous orne autant ?

La rose est coquette ; 
Le glaïeul sanglant 
Mais le lys est blanc 
Pour la grande fête.

Oh ! le temps des rois, 
Des grands capitaines, 
Des phrases hautaines 
Aux étrangers froids !

Le printemps s'apprête ; 
Les lys vont fleurir. 
Oh ! ne pas mourir 
Avant cette fête.",metre libre
Louise Ackermann,Contes et poésies,1863,La rose,Fleurs (Les),"À Madame M.


Quand la rose s'entr'ouvre, heureuse d'être belle, 
De son premier regard elle enchante autour d'elle 
Et le bosquet natal et les airs et le jour. 
Dès l'aube elle sourit ; la brise avec amour 
Sur le buisson la berce, et sa jeune aile errante 
Se charge en la touchant d'une odeur enivrante ; 
Confiante, la fleur livre à tous son trésor. 
Pour la mieux respirer en passant on s'incline ; 
Nous sommes déjà loin, mais la senteur divine 
Se répand sur nos pas et nous parfume encor.",vers libre
Sophie d'Arbouville,Poésies et nouvelles,1840,Pétition d'une fleur,Fleurs (Les),"À une dame châtelaine.
(Pour la construction d'une serre.)


Pauvre fleur, qu'un rayon du soleil fit éclore, 
Pauvre fleur, dont les jours n'ont qu'une courte aurore, 
Il me faut, au printemps, le soleil du bon Dieu, 
Et quand l'hiver arrive, un asile et du feu. 
On m'a dit — j'en frémis ! — qu'au foyer de la serre 
Je n'aurai plus ma place, et mourrai sur la terre 
Au jour où l'hirondelle, en fuyant les frimas, 
Vole vers les pays où l'hiver ne vient pas. 
Et moi, qui de l'oiseau n'ai pas l'aile légère, 
Sur toi, contre le froid, j'avais compté, ma mère ! 
Pourquoi m'abandonner ? Pauvre petite fleur, 
Ne t'ai-je pas offert l'éclat de ma couleur, 
Mon suave parfum, jusqu'aux jours de l'automne ? 
Ne t'ai-je pas donné ce que le ciel me donne ?

Si tu savais, ma mère, il est dans ce vallon, 
Non loin de ton domaine, un jeune papillon 
Qui versera des pleurs, et mourra de sa peine, 
En ne me voyant plus à la saison prochaine. 
Des sucs des autres fleurs ne voulant se nourrir, 
Fidèle à son amie, il lui faudra mourir !... 
Puis une abeille aussi, sur mon destin, s'alarme : 
Sur ses ailes j'ai vu briller plus d'une larme ; 
Elle m'aime, et m'a dit que jamais, sous le ciel, 
Jeune fleur dans son sein n'avait eu plus doux miel. 
Souvent une fourmi, contre le vent d'orage, 
Vient chercher vers le soir l'abri de mon feuillage. 
Te parlerai-je aussi de l'insecte filant, 
Qui, sur mes verts rameaux s'avançant d'un pas lent, 
De son réseau léger appuyé sur ma tige, 
À tout ce qui dans l'air ou bourdonne ou voltige, 
Tend un piège adroit, laborieux labeur 
Que ta main va détruire en détruisant ma fleur ? 
Et puis, quand vient la nuit, un petit ver qui brille 
Me choisit chaque soir, et son feu qui scintille, 
Lorsque mes sœurs n'ont plus pour elles que l'odeur, 
Me permet de montrer l'éclat de ma couleur.

Tu vois, je suis aimée ! et cette heureuse vie, 
Me serait, à l'hiver, par tes ordres ravie ?... 
C'est ton or qui m'a fait quitter mon beau pays, 
Où, des froids ouragans je n'avais nuls soucis ;
Aussi je pleurais bien au moment du voyage... 
— L'exil est un malheur qu'on comprend à tout âge ! 
Mais une vieille fleur, estimée en tous lieux, 
M'a dit qu'auprès de toi mon sort serait heureux ; 
Qu'elle avait souvenir, jusques en sa vieillesse, 
D'avoir fleuri pour toi du temps de sa jeunesse ; 
Qu'aussitôt qu'on te voit, t'aimer est un devoir, 
Qu'aimer paraît bien doux quand on vient de te voir ; 
Que tu n'as pas un cœur qui trompe l'espérance, 
Que les amis te sont plus chers dans la souffrance, 
Et que petite fleur, flétrie et sans odeur, 
Trouverait à l'hiver pitié pour son malheur ; 
Que tout ce qui gémit, s'incline, souffre et pleure, 
Cherche, sans se tromper, secours dans ta demeure ; 
Que, tes soins maternels éloignant les autans, 
Auprès de toi toujours on se croit au printemps !

Allons, construis pour nous une heureuse retraite, 
Et Dieu te bénira... car c'est lui qui m'a faite,
Et simple fleur des champs, quoique bien loin des cieux, 
Comme le chêne altier, trouve place à ses yeux.",vers libre
